Activity Date,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade
"28 Feb 2023, 17:10:37",1832,1741,4013.22998,2.7660000324249268,2.305129289627075,23.317401885986328,20.917402267456055,15,19.299999237060547,10.526315689086914,0.059802204
"11 Mar 2023, 12:19:18",3944,3616,4351.140137,1.7341632843017578,1.203302025794983,26.672096252441406,26.672096252441406,8.100000381469727,22,35.71428680419922,0
"13 Mar 2023, 20:52:15",2169,2162,5027.799805,3.1600000858306885,2.3255319595336914,27.498485565185547,28.498485565185547,15,19.200000762939453,9.708738327026367,-0.019889414
"28 Mar 2023, 07:34:19",829,825,1977.1099853515625,2.7880001068115234,2.3964970111846924,12.070880889892578,-0.129099995,3.4000000953674316,15.600000381469727,3.246753215789795,0.6170622706413269
"30 Mar 2023, 12:05:09",1304,1300,3027.800048828125,2.7639999389648438,2.3290770053863525,14.975595474243164,16.27559471130371,15,19.200000762939453,7.174887657165527,-0.042935465
"4 Apr 2023, 12:52:41",421,408,1022.5999755859375,2.884000062942505,2.5063724517822266,2.6457407474517822,1.3457399606704712,15,19.299999237060547,5.347593784332275,0.12712693214416504
"6 Apr 2023, 12:03:02",1438,1425,3062.389892578125,2.868000030517578,2.149045705795288,15.092228889465332,15.392229080200195,15,19.200000762939453,5.555555344,-0.00979627
"8 Apr 2023, 18:25:19",3116,2714,3025.649902,2.002000093460083,1.114830493927002,41.29389572143555,43.79389572143555,9.899999618530273,46.29999923706055,37.03703689575195,-0.082626872
"10 Apr 2023, 13:49:44",2240,2128,5030.339844,3.2060000896453857,2.3638815879821777,28.538888931274414,28.038888931274414,10.300000190734863,38.900001525878906,4.6728973388671875,0.009939686
"15 Apr 2023, 15:18:30",1291,1291,3026.340087890625,3.1419999599456787,2.3441827297210693,15.229348182678223,13.42934799194336,15,19.299999237060547,6.9264068603515625,0.059477784
"23 Apr 2023, 13:45:05",2887,2875,6024.819824,3.0320000648498535,2.0955896377563477,36.429359436035156,34.429359436035156,15,19.899999618530273,8.849557876586914,0.033196013420820236
"25 Apr 2023, 11:48:05",1625,1588,3658.790039,3.4059998989105225,2.3040239810943604,18.930768966674805,19.930768966674805,15,19.200000762939453,5.708848953,-0.02733144
"27 Apr 2023, 12:15:06",765,760,1673.8499755859375,2.7660000324249268,2.2024343013763428,6.859375,6.859379768371582,15,19.200000762939453,7.604562759399414,0
"2 May 2023, 19:37:28",1481,1481,1953.219970703125,2.0283334255218506,1.318852186203003,7.033193111419678,5.133193492889404,7.400000095367432,14.800000190734863,9.009009361,0.097275272
"3 May 2023, 14:05:48",714,714,1078.0999755859375,2.059999942779541,1.509943962097168,0,-0.800000012,26.5,27.700000762939453,1.876172661781311,0.074204616
"20 May 2023, 07:38:19",2483,2284,2652.469970703125,1.7100000381469727,1.1613266468048096,7.209054470062256,7.009054660797119,7.5,12.899999618530273,8.064516067504883,0.007540142
"9 Jun 2023, 17:48:58",2150,2115,3031.02002,3.5420000553131104,1.4331064224243164,13.425000190734863,14.925000190734863,3.5999999046325684,17.100000381469727,6.679389476776123,-0.049488291
"6 Aug 2023, 14:02:46",5338,5146,6414.330078,1.8452173471450806,1.2464691400527954,8.058333396911621,9.058333396911621,2.4000000953674316,6.300000190734863,40,-0.015590093
"12 Aug 2023, 07:21:48",4205,4152,5605.310059,1.8459999561309814,1.3500264883041382,19.241472244262695,19.84149932861328,2.299999952316284,20.600000381469727,15.625,-0.010704136
"13 Sep 2023, 19:40:00",1694,1694,3858.77002,,2.2779042720794678,,,,,,0
"15 Sep 2023, 17:26:11",1346,1346,2757.090087890625,2.9800000190734863,2.048358201980591,0,-0.300000012,-0.200000003,1.7999999523162842,4.432624340057373,0.010881037451326847
"16 Sep 2023, 11:00:30",5610,3808,4827.120117,3.992000102996826,1.2676260471343994,12.857500076293945,18.05750084,2.799999952316284,16.299999237060547,12.048192977905273,-0.107724689
